NAMESPACE            NAME                             DESIRED   CURRENT   READY   UP-TO-DATE   AVAILABLE   NODE SELECTOR   AGE     CONTAINERS                                                      IMAGES                                                                                                                                                                                                                                                                      SELECTOR
irestrict-security   spire-agent                      1         1         1       1            1           <none>          4h41m   spire-agent                                                     ghcr.io/spiffe/spire-agent:1.11.2                                                                                                                                                                                                                                           app=spire-agent
kube-system          ama-logs                         1         1         1       1            1           <none>          4h46m   ama-logs,ama-logs-prometheus                                    mcr.microsoft.com/azuremonitor/containerinsights/ciprod:3.6.0,mcr.microsoft.com/azuremonitor/containerinsights/ciprod:3.6.0                                                                                                                                                 component=ama-logs-agent,tier=node
kube-system          ama-logs-windows                 0         0         0       0            0           <none>          4h46m   ama-logs-windows                                                mcr.microsoft.com/azuremonitor/containerinsights/ciprod:win-3.6.0                                                                                                                                                                                                           component=ama-logs-agent-windows,tier=node-win
kube-system          azure-cns                        1         1         1       1            1           <none>          4h48m   pause                                                           mcr.microsoft.com/oss/v2/kubernetes/pause:3.6                                                                                                                                                                                                                               k8s-app=azure-cns
kube-system          azure-cns-win                    0         0         0       0            0           <none>          4h48m   pause                                                           mcr.microsoft.com/oss/v2/kubernetes/pause:3.10.1                                                                                                                                                                                                                            k8s-app=azure-cns-win
kube-system          azure-ip-masq-agent              1         1         1       1            1           <none>          4h48m   azure-ip-masq-agent                                             mcr.microsoft.com/oss/v2/azure/ip-masq-agent-v2:v0.1.16-6                                                                                                                                                                                                                   k8s-app=azure-ip-masq-agent,tier=node
kube-system          cloud-node-manager               1         1         1       1            1           <none>          4h47m   cloud-node-manager                                              mcr.microsoft.com/oss/v2/kubernetes/azure-cloud-node-manager:v1.35.7-2                                                                                                                                                                                                      k8s-app=cloud-node-manager
kube-system          cloud-node-manager-windows       0         0         0       0            0           <none>          4h47m   cloud-node-manager                                              mcr.microsoft.com/oss/v2/kubernetes/azure-cloud-node-manager:v1.35.7-windows-hpc-1                                                                                                                                                                                          k8s-app=cloud-node-manager-windows
kube-system          csi-azuredisk-node               1         1         1       1            1           <none>          4h47m   liveness-probe,node-driver-registrar,azuredisk                  mcr.microsoft.com/oss/v2/kubernetes-csi/livenessprobe:v2.18.0,mcr.microsoft.com/oss/v2/kubernetes-csi/csi-node-driver-registrar:v2.16.0-6,mcr.microsoft.com/oss/v2/kubernetes-csi/azuredisk-csi:v1.34.4-7                                                                   app=csi-azuredisk-node
kube-system          csi-azuredisk-node-win           0         0         0       0            0           <none>          4h47m   node-driver-registrar,azuredisk                                 mcr.microsoft.com/oss/v2/kubernetes-csi/csi-node-driver-registrar:v2.16.0-6,mcr.microsoft.com/oss/v2/kubernetes-csi/azuredisk-csi:v1.34.4-windows-hp                                                                                                                        app=csi-azuredisk-node-win
kube-system          csi-azurefile-node               1         1         1       1            1           <none>          4h47m   azfilesrefresh,liveness-probe,node-driver-registrar,azurefile   mcr.microsoft.com/oss/v2/kubernetes-csi/azurefile-csi:v1.35.5-6,mcr.microsoft.com/oss/v2/kubernetes-csi/livenessprobe:v2.18.0,mcr.microsoft.com/oss/v2/kubernetes-csi/csi-node-driver-registrar:v2.16.0-6,mcr.microsoft.com/oss/v2/kubernetes-csi/azurefile-csi:v1.35.5-6   app=csi-azurefile-node
kube-system          csi-azurefile-node-win           0         0         0       0            0           <none>          4h47m   node-driver-registrar,azurefile                                 mcr.microsoft.com/oss/v2/kubernetes-csi/csi-node-driver-registrar:v2.16.0-6,mcr.microsoft.com/oss/v2/kubernetes-csi/azurefile-csi:v1.35.5-windows-hp                                                                                                                        app=csi-azurefile-node-win
kube-system          kube-proxy                       1         1         1       1            1           <none>          4h47m   kube-proxy                                                      mcr.microsoft.com/oss/v2/kubernetes/kube-proxy:v1.35.6-4                                                                                                                                                                                                                    component=kube-proxy,tier=node
kube-system          windows-kube-proxy-initializer   0         0         0       0            0           <none>          4h47m   pause                                                           mcr.microsoft.com/oss/v2/kubernetes/pause:3.10.1                                                                                                                                                                                                                            k8s-app=windows-kube-proxy-initializer
