Found 2 pods, using pod/sample-financial-api-7bf5cfb79f-2rksd
{"ts": 1786460250.6856806, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460252.317459, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460260.6862657, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460262.3176885, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460270.6843133, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460272.3174736, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460280.6855311, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460282.3179996, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460290.686096, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460292.3177464, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460300.6858313, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460302.317336, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460310.6862638, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460312.3176682, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460320.6850388, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460322.317717, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460330.685054, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460332.3168685, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460340.6862783, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460342.3178046, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460350.6852493, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460352.3184862, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460360.684865, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460362.3179255, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460370.6854002, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460372.3172045, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460380.685857, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460382.3174121, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460390.686111, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460392.3176832, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460400.6867902, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460402.3175268, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460410.685419, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460412.3176248, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460420.684788, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460422.3177676, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460430.6857927, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460432.3176756, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
